Course,Distribs,Quality,Reviews
CHIN042: Advanced Chinese (Fourth-year level),"LIT, NW",0.0,1.0
CHIN061.02: Love and Desire in Modern Chinese Literature,"LIT, NW",2.0,1.0
CHIN062.01: Chinese Calligraphy,"ART, NW",0.0,1.0
CLST001.03: Antiquity Today,"INT, LIT, CI",8.0,1.0
CLST001: Introductory Topics in Classical Studies,"INT, LIT, CI",14.0,92.0
CLST002: The Tragedy and Comedy of Greece and Rome,"ART, W",3.0,27.0
CLST003: Reason and the Good Life: Socrates to Epictetus,"TMV, W",7.0,7.0
CLST004: Classical Mythology,"TMV, CI",14.0,70.0
CLST005: The Heroic Vision: Epics of Greece and Rome,"LIT, W",10.0,54.0
CLST006: Introduction to Classical Archaeology,"INT, ART, W",13.0,42.0
CLST007.10: Collapse of Civilizations,"SOC, W",3.0,2.0
CLST007: First-Year Seminars in Classical Studies,,6.0,24.0
CLST010.10: Ancient Medicine,,2.0,1.0
CLST011.02: Rrediscovering Sparta: Ancient Remains and Modern Technology,"TAS, W",1.0,1.0
CLST011.09: Who Owns the Past?,"SOC, CI",0.0,1.0
CLST011.11: War Stories,"INT, LIT, CI",3.0,2.0
CLST011.16: Ancient Medicine,"TMV, W",4.0,2.0
CLST011.17: Greek Athletics,"SOC, W",-3.0,3.0
CLST012.02: Greek and Roman Engineering and Technology,"TAS, W",2.0,1.0
CLST012.03: Who Owns the Past?,"SOC, CI",2.0,1.0
CLST014: Greek History: Archaic and Classical Greece,"SOC, W",4.0,22.0
CLST015: Alexander the Great and the Macedonian Kings,"INT, SOC, W",3.0,6.0
CLST017: Roman History: The Republic,"SOC, W",10.0,19.0
CLST018: History of the Roman Empire: Roman Principate to Christian Empire,"INT, SOC, W",7.0,29.0
CLST019: Methods and Theory in Ancient History,"SOC, W",2.0,9.0
CLST020: Greek Archaeology: First Hominids to Mycenean Palaces,"SOC, W",0.0,11.0
CLST021: Greek Archaeology: Early Iron Age and Archaic,"SOC, W",3.0,6.0
